# simbad_id 	ra 	dec
HD 100453	173.27323603455	-54.32459641686
HD 100546	173.35600369679	-70.19478924943
HD 104860	181.14054525825	66.33658690477
HD 105	1.46893659048	-41.75306805232
* q01 Eri	25.62214382373	-53.74083095924
HD 106906	184.4716312933099	-55.9755258409
HD 107146	184.77709118346	16.54829659198
* eta Crv	188.0176100077008	-16.1960051709386
* q02 Eri	26.52609583282	-53.52203570208
HD 109573	189.00429894233	-39.86950568483
HD 110058	189.94248438567	-49.19876413854
* rho Vir	190.47107061462	10.2356257137
HD 111520	192.58215977313	-49.86360054113
HD 112810	194.99950829732	-50.38957988452
HD 113337	195.4455287228599	63.61022100515
HD 114082	197.3174692987099	-60.308348762
HD 115600	199.83142075924	-59.47234473185
HD 117214	202.53739528429	-58.48454333725
HD 120326	207.4770967843099	-50.23996583093
* lam Boo	214.0959100349329	46.0883042943592
HD 127821	217.69195895855	63.18578636654
HD 128311	219.0023344856491	9.7465151592406
HD 129590	221.12901078983	-39.9890634018
HD 131488	223.78345346512	-41.12038927062
HD 131835	224.22694902583	-35.69546078144
HD 138813	233.81710880378	-25.73416460927
HD 138965	235.04814899955	-70.22788319748
* alf CrB	233.67195002	26.71469278
* gam Tri	34.3286126396	33.8471930692
* 30 Ser	237.23665398594	-3.81851053828
HD 141569	237.49061772933	-3.92120600474
V* NZ Lup	238.36371539942	-42.26686410153
* kap CrB	237.8080470598467	35.6573815808772
HD 142446	239.02344991202	-36.89287229329
HD 145560	243.39305660756	-45.81769203741
HD 146181	244.11820807917	-38.73676585666
HD 146897	244.87184119546	-21.40368687756
HD 15115	36.56769077023	6.29255179257
V* AK Sco	253.68687148974	-36.88849071846
HD 153053	255.02616372179	-54.597177028
HD 156623	260.21090498867	-45.42083443099
HD 15745	38.23254542496	37.33362226447
HD 157587	261.21766608259	-18.85921920273
* pi. Ara	264.52298079539	-54.50043389668
HD 160305	265.4543268230999	-50.72445582527
* gam Oph	266.9731691245113	2.7072791218992
HD 166	1.653266695245	29.0215035260806
HD 16743	39.78151103642	-52.93480670072
HD 169142	276.12408328811	-29.78036872238
HD 170773	278.25381970894	-39.89202086749
HD 172555	281.3620874193479	-64.8712596688847
* nu. Hor	42.25619705806	-62.8065219516
* eta Tel	290.71335865609	-54.42392933816
HD 181327	290.74559884271	-54.53804879684
* alf Sgr	290.9715617846	-40.6159362378
HD 182681	291.73534582149	-29.74322714486
* c Aql	292.25411225117	1.95044911809
* eps Pav	300.148148245	-72.9105054942
HD 191089	302.27173181612	-26.22403337938
* rho Aql	303.56924451093	15.19760733808
HD 192758	304.56578369215	-42.86008265689
* phi01 Pav	308.8952086153799	-60.58174912319
HD 197481	311.2897187392163	-31.3408994138447
HD 202206	318.74070252164	-20.7892115337
HD 202628	319.6136234362499	-43.33465085068
HD 202917	320.20815673239	-53.03420990756
HD 206893	326.34127188872	-12.78335022351
HD 207129	327.0656298475778	-47.3036160814856
* e Eri	49.9818788009275	-43.069781996785
HD 218396	346.86964883731	21.13425299097
HD 21997	52.97352920947	-25.61415000031
HD 23484	56.0382207164767	-38.2817700731175
* gam Dor	64.00661092702	-51.48664797621
* b Tau	67.20901508874	13.04760199961
V* RY Tau	65.4892052292	28.44320981017
V* UX Tau	67.51665107	18.23039876
V* EX Eri	71.6072896431	-28.08744587864
HD 30447	71.70636940874	-26.30245878207
HD 319139	273.54367444807	-32.79292134335
HD 32297	75.61431614758	7.46102182035
V* V1366 Ori	79.00198549222	-9.80983160667
HD 35650	81.12570642031	-38.96965196607
HD 35841	81.65244510613	-22.48992640104
HD 35841	81.65244510613	-22.48992640104
HD 36112	82.61470234585	25.33252119132
HD 36546	83.37816119065	24.62881347764
HD 377	2.10727273132	6.61680261328
HD 38206	85.8402955163	-18.55747545498
HD 38529	86.64547141187	1.16819526385
HD 38858	87.14558439635	-4.09464494104
* bet Pic	86.8211987087	-51.0665114264
HD 50571	102.504229692	-60.24914479466
HD 53143	104.9985627147717	-61.3361812865461
HD 54341	106.58721937047	-43.61074714361
HD 61005	113.94775981519	-32.20390141288
HD 69830	124.5997790343363	-12.6321714409806
HD 70313	125.95208880739	53.21971259114
* 30 Mon	126.4151327713659	-3.9064272186819
HD 71722	126.60502320642	-52.80749732553
* 50 Cnc	131.73341246452	12.10995280005
* omi02 Cnc	134.39666532058	15.58128492584
HD 82943	143.71139711343	-12.12954700061
HD 85672	148.49645633302	27.69545692412
V* V419 Hya	160.86779820989	-29.06428685193
HD 95086	164.26258988328	-68.66734700448
* bet UMa	165.4603322979729	56.3824336494964
HD 97048	167.01379572155	-77.65485854929
HD 115600	199.83142075924	-59.47234473185
BD+45 598	35.30451269693	46.00199187202
ATO J241.0901-21.5080	241.0902283116	-21.50793057314
V* DG Tau	66.76955053162	26.10446115813
ASAS J181422-3246.2	273.59197363628	-32.76948137262
CD-40 8434	212.04231062531	-41.3979370253
WRAY 15-1443	243.83430901278	-32.91808267552
V* RY Lup	239.8682769627899	-40.36423597116
V* SZ Cha	164.56979198965	-77.28810715275
V* T Cha	179.30635211898	-79.35875847469
V* TW Hya	165.46627220211	-34.70473144955
V* V1094 Sco	242.1507383377899	-39.38401805027
V* V1249 Cen	183.87800133377	-39.81183519004
V* CE Ant	160.62542455365	-33.67117494589
HD 34700	79.92162999999999	5.64508
CD-40 8434	212.04231062531	-41.3979370253
V* V1247 Ori	84.521754	-1.25558
V* V351 Ori	86.077804	0.14419
