[DHB2009] TrES-4/C
* 12 Sco
* 34 Peg
* 94 Cet
* alf Hyi
* chi Lup
* eps Lup
* eta Hor
* f Cen
* F Hya
* mu.02 Cru
* tet01 Ori
* tet01 Ori B
** CTI 1217B
** DAE 10B
** WSP 49B
1RXS J125608.8-692652
1RXS J130154.9-424951
2MASS J12163970-7007355
2MASS J12505174-5156347
ASAS J123911-5454.9
BD+00 5017
BD+01 316
BD+01 316
BD+07 2474
BD+10 3472
BD+46 2629
BD+46 2629
CD-24 102
CD-30 1019
CD-33 7795
CD-34 8618
CD-35 10525
CD-36 6589
CD-41 7923
CD-41 7923
CD-42 3043
CD-43 12272
CD-43 12272A
CD-46 1323
CD-51 7268
CoRoT-2
CPD-52 5025
CPD-64 484
Gaia DR2 1334573817793501696
Gaia DR3 5863747462890662144
Gaia DR3 6074374346993397760
HAT-P-18
HD 10800
HD 112410
HD 114174
HD 120457
HD 122173
HD 122194
HD 126614
HD 131399
HD 132899
HD 132899A
HD 13445
HD 137015
HD 138138
HD 146001
HD 146285
HD 150742
HD 155233
HD 1666
HD 168625
HD 171034
HD 174689
HD 206610
HD 207229
HD 207832
HD 21175
HD 217379
HD 2638
HD 30856
HD 93148
HD 98800
HD 98800B
IRAS 13303-6521
Kepler-1
NAME BD+07 2474Ab
NAME BD+46 2629Ab
NAME WASP-12BC
PM J10367+1521
PM J10367+1521A
TOI-1937
TWA 3
TWA 3A
TYC 2620-648-1
TYC 8237-1980-1
TYC 8273-917-1
TYC 9231-1185-1
V* GQ Lup
V* PZ Tel
V* T Tau
V* V1257 Cen
WASP-12
WASP-2
WASP-49
WASP-108
